subject,predicate,object,event,time
pre-takeoff preparation,time-related,takeoff,,T-1
takeoff,time-related,cruise phase,,T0
cruise phase,time-related,accident trigger,,T1
accident trigger,time-related,accident occurrence,,T2
accident occurrence,time-related,accident rescue,,T3
accident rescue,time-related,post-accident investigation,,T4
post-accident investigation,time-related,accident outcome analysis,,T5
accident outcome analysis,time-related,recommendations,,T6
pre-takeoff preparation,inspection status,agusta a-109e helicopter,,T-1
pre-takeoff preparation,inspection status,pilot,,T-1
pre-takeoff preparation,inspection status,spotter,,T-1
pre-takeoff preparation,inspection status,lost hiker,,T-1
pre-takeoff preparation,inspection status,new mexico state police,,T-1
pre-takeoff preparation,inspection status,nmsp dispatcher,,T-1
agusta a-109e helicopter,registration,new mexico department of public safety,helicopter registered to dps,T-1
agusta a-109e helicopter,operation,new mexico state police,operated by nmsp on sar mission,T-1
lost hiker,emergency call,911 operator,hiker called 911 for help,T-1
nmsp dispatcher,coordination,sar command,dispatcher notified volunteer sar command,T-1
district sergeant,decision,aerial search,sergeant decided to launch helicopter sar effort,T-1
pilot,weather assessment,wind conditions,pilot initially declined due to high winds,T-1
pilot,mission acceptance,sar mission,pilot accepted mission after wind check,T-1
pilot,preflight inspection,agusta a-109e helicopter,pilot performed preflight inspection,T-1
takeoff,inspection status,agusta a-109e helicopter,,T0
takeoff,inspection status,pilot,,T0
agusta a-109e helicopter,takeoff,santa fe municipal airport,helicopter departed saf at 1850,T0
cruise phase,inspection status,pilot,,T1
cruise phase,inspection status,spotter,,T1
pilot,search operation,lost hiker,pilot searched for hiker for over 1 hour,T1
pilot,weather report,wind conditions,pilot reported dealing with lot of wind,T1
pilot,visual contact,lost hiker,pilot and spotter made visual contact with hiker,T1
pilot,landing decision,remote landing site,pilot decided to land on ridge above hiker,T1
agusta a-109e helicopter,landing,ridge at 11600 feet,helicopter landed on ridge and shut off engines,T1
pilot,rescue operation,lost hiker,pilot walked down hill to retrieve hiker,T1
weather conditions,deterioration,mountain area,weather deteriorated with sleet and strong winds,T1
pilot,return to helicopter,lost hiker,pilot carried hiker back to helicopter,T1
accident trigger,inspection status,weather conditions,,T2
accident trigger,inspection status,agusta a-109e helicopter,,T2
agusta a-109e helicopter,takeoff,remote landing site,helicopter took off from ridge in deteriorating weather,T2
agusta a-109e helicopter,imc encounter,clouds,helicopter immediately entered clouds with zero visibility,T2
agusta a-109e helicopter,erratic flight,mountainous terrain,helicopter flew erratically and climbed to 12500 feet,T2
pilot,loss of control,agusta a-109e helicopter,pilot struggled to control helicopter after tail strike,T2
pilot,emergency communication,dispatcher,pilot reported striking mountainside and going down,T2
accident occurrence,inspection status,agusta a-109e helicopter,,T3
accident occurrence,inspection status,pilot,,T3
accident occurrence,inspection status,lost hiker,,T3
accident occurrence,inspection status,spotter,,T3
agusta a-109e helicopter,impact,terrain,helicopter impacted terrain at 11970 feet elevation,T3
agusta a-109e helicopter,fragmentation,steep slope,helicopter rolled down slope and separated components,T3
pilot,ejection,helicopter wreckage,pilot was ejected during accident sequence,T3
lost hiker,ejection,helicopter wreckage,hiker was ejected during accident sequence,T3
spotter,survival,helicopter wreckage,spotter survived and took shelter in wreckage,T3
accident rescue,inspection status,sar ground teams,,T4
accident rescue,inspection status,spotter,,T4
accident rescue,inspection status,new mexico national guard,,T4
sar ground teams,search operation,accident site,ground teams searched for helicopter wreckage,T4
sar ground teams,rescue,spotter,ground teams located spotter and airlifted to hospital,T4
sar ground teams,discovery,helicopter wreckage,ground teams located wreckage at 1816,T4
pilot,fatal injury,accident,pilot fatally injured in crash,T4
lost hiker,fatal injury,accident,hiker fatally injured in crash,T4
